,명사,중복횟수,총조회수,총추천수
21238,아틸라,2,28356.0,302.0
20913,비바,2,28354.0,243.0
33077,낯가림,1,28347.0,655.0
41263,안선영,1,28338.0,183.0
39722,백영민,1,28337.0,103.0
32025,현영민,1,28327.0,214.0
34851,적당,1,28326.0,79.0
38638,괴질,1,28325.0,190.0
35639,불하,1,28322.0,607.0
18998,면목,1,28320.0,580.0
33222,자치,2,28314.0,244.0
39459,카레이싱,1,28310.0,167.0
31551,어떠냔,1,28306.0,137.0
17005,장쿠,1,28303.0,137.0
26699,네오위즈,2,28298.0,208.0
41002,드록신,1,28298.0,176.0
40071,주럿,1,28296.0,52.0
24330,연한,1,28294.0,540.0
27620,기음,2,28291.0,372.0
15550,병신좆밥편붕,1,28279.0,268.0
34597,통녹,1,28279.0,226.0
37885,디딤돌,1,28274.0,536.0
6106,코박견,1,28270.0,267.0
21030,콜리,2,28266.0,273.0
34081,피융피융,1,28264.0,274.0
26444,카텔란,2,28257.0,178.0
32002,년새,1,28253.0,128.0
14879,용제,1,28252.0,282.0
21954,야마나시,4,28251.0,265.0
25879,마태,2,28249.0,157.0
20948,랜트,1,28249.0,63.0
41223,핸즈,1,28248.0,144.0
28764,시마바라,4,28245.0,104.0
40131,도태러남,1,28244.0,113.0
30026,컴리,1,28243.0,100.0
33939,인디카,3,28241.0,119.0
37995,폭스맨,1,28238.0,67.0
3818,나부랭이,1,28224.0,398.0
6243,개벽,1,28219.0,415.0
9974,디타,2,28217.0,132.0
39294,엑소시즘,1,28214.0,267.0
25342,요리학,1,28212.0,642.0
39332,유승호,1,28210.0,121.0
38934,뱅글,1,28207.0,344.0
40142,랜선연애,1,28205.0,311.0
31033,박뿜계,1,28205.0,1046.0
29347,임순례,1,28204.0,456.0
26988,대위변제,1,28203.0,242.0
35105,세밀,1,28203.0,556.0
38845,후쿠,3,28201.0,137.0
8839,로드리게스,2,28195.0,197.0
36723,쟈글쟈글,1,28192.0,147.0
33935,전일,1,28187.0,460.0
41021,회상씬,1,28185.0,148.0
41573,검둥,1,28183.0,270.0
39177,독산역,1,28180.0,304.0
38626,김기석,2,28175.0,174.0
